position,titel,art,komponist,arrangeur,ablage
1,Northern Lights,Konzertstück,Yukiko Nichimura,,2223
2,Don Quixote (Haeck),Konzertstück,Jean-Pierre Haeck,,2223
3,Don't stop believin',Rock-Pop,Journey,Kimberly Rew,2007
4,Perspektiven,Konzertstück,Tobias Psaier,,2223
5,Puttin' On The Ritz!,Rock-Pop,Irving Berlin,Klaus Badelt,2007
6,California Dreamin',Rock-Pop,The Mamas & The Papas,James Curnow,2007
7,Duet from Lakme,Solostück,Leo Delibes,F. W. Rust,1005
8,Olympic Fanfare and Theme (Curnow),Sonstiges,John Williams,F. W. Rust,1514
9,La Belle au bois dormant,Konzertstück,Peter Iljitsch Tschaikowsky,Harold L. Walters,2209
10,Dream a little dream of me,Rock-Pop,Wilbur Schwandt,Klaus-Günter Neumann,
