position,titel,art,komponist,arrangeur,ablage
1,Die Regimentskinder,Marsch,Julius Fucik,Candy de Rouge / Gunter Mende,1109
2,Die Sonne geht auf,Marsch,Rudi Fischer,,1113
3,Graf Zeppelin,Marsch,Carl Teike,Harald Cosmar,1113
4,Mens Sana In Corpore Sano,Marsch,Geert Sprick,Bruno Hartmann,1104
5,Semper Fidelis,Marsch,John Philip Sousa,Harm Evers,1111
6,Unter dem Sternenbanner,Marsch,John Philip Sousa,Edward Elgar,1109
7,Florentiner Marsch,Marsch,Julius Fucik,André Waignain,1101
8,Hoch Heidecksburg,Marsch,Rudolf Herzer,Harald Cosmar,1104
9,Fliegermarsch,Marsch,Hermann Dostal,Harald Cosmar,1101
10,Böhmische Liebe,Polka,Mathias Rauch,,1206
11,Memories of Friensdship,Marsch,Satoshi Yagisawa,,1117
12,O Vitinho,Marsch,Maques Neto,A.P. Notnagl,1112
15,Südböhmische Polka,Polka,ladislav Kubes,C. Carl,1204
16,Böhmischer Traum,Polka,Norbert Gälle,Harald Cosmar,1204
17,Ein Leben Lang,Polka,Fäschtbänkler,Josef Poncar,1
18,Netolicka Polka,Polka,ladislav Kubes,Bruno Lanske,1203
19,Wir Musikanten,Polka,Kurt Gäble,,1206
20,Ein halbes Jahrhundert,Polka,,,1206
21,Eine letzte Runde,Sonstiges,Markus Nentwich,,1517
22,Egerländer Klarinetten-Polka,Polka,Vlad Kabec,,1202
23,Von Freund zu Freund,Polka,Martin Scharnagl,,1206
26,Eine Nacht in Budapest,Potpourri,,Edward Elgar,1405
27,Melodie der Berge,Potpourri,Wilhelm Fritz,Georg Ried,1403
28,Comedian Harmonists in Concert,Potpourri,,Heinz Morawetz,1413
29,Junior TV Hits,Filmmusik,,Josef Strauss,1806
32,How to train your Dragon,Filmmusik,John Powell,Ira Newborn,1802
33,Die lustige Witwe,Potpourri,Franz Lehár,Joe Steinbeck,1417
34,Figaro-Marsch,Marsch,W. A. Mozart,A. Franz,1101
35,Irish Sketches,Sonstiges,Luc Gistel,,1516
36,Shalom Alechem,Konzertstück,Johan <Nijs,,2219
37,Chianti-Lied,Sonstiges,Gerhard Winkler,Astor Piazzola,1509
38,Begegnung,Sonstiges,Kurt Gäble,,1516
39,El Choclo,Konzertstück,A.G. Villoldo,Jean Frank,2209
42,Maxglaner Zigeunermarsch Reloaded,Marsch,,Johann Schrammel,1121
43,Latin Gold!,Potpourri,,Glenn Miller,1401
44,Herb Alpert Golden Hits,Potpourri,Herb Albert,Heeribert Raich,1411
45,Ain't no Mountain high Enough,Rock-Pop,Nickolas Ashford and Valerie Simpson,Fr. Silcher,2001
46,Udo Jürgens live,Potpourri,Udo Jürgens,G. Meissner,1405
47,Best of Reinhard Fendrich,Rock-Pop,,Joe Steinbeck,2007
48,Don't stop me now,Konzertstück,Freddie Mercory,Josef Ullrich,2221
