position,titel,art,komponist,arrangeur,ablage
1,Freude zur Musik,Marsch,Hubert Weissmann,Fucik - Eisbrenner,1107
2,47er Regimentsmarsch,Marsch,J. F. Wagner,Edvard Grieg,1105
3,Ruetz Marsch,Marsch,Erwin Trojan,,1103
4,Bozner Bergsteiger-Marsch,Marsch,Sepp Tanzer,,1103
5,Kaiserschützen,Marsch,Rudolf Kummerer,Edvard Grieg,1105
6,Kitzbühler Standschützen Marsch,Marsch,Georg Kaltschmid,Edvard Grieg,1103
7,Rainer Marsch,Marsch,Hans Schmid,,1103
8,Stets munter,Marsch,Franz Hoffmann,,1103
9,Deutschmeister Regiments-Marsch,Marsch,Wilh. August Jurek,A. Parlow,1103
10,Erzherzog Albrecht-Marsch,Marsch,Karl Komzak,Emmerich Kalmann,1103
11,Vindobona Marsch,Marsch,Karl Komzak,Harald Cosmar,1105
12,Mein Heimatland,Marsch,Sepp Neumayr,,1103
13,Frisch auf,Marsch,Robert Pensch,Edvard Grieg,1105
14,Spielmannsgruß,Marsch,Hans Schmid,,1122
15,Schneidig vor,Marsch,Julius Fucik,Harald Cosmar,1104
16,Castaldo Nova,Marsch,Rudolf Novacek,Freek Mestrini,1103
17,Hoch- und Deutschmeister,Marsch,Dominik Ertl,,1103
18,Lahousen,Marsch,Franz Rezek,Anton Karas,1103
19,In die weite Welt,Marsch,Hans Kliment,Edvard Grieg,1104
20,Laridah,Marsch,Max Hempel,,1107
21,Olympiade Marsch,Marsch,Jaroslav Labsky,,1122
22,Andulka Marsch,Marsch,Frantisek Kmoch,C. Carl,1104
23,Medeazza-Marsch,Marsch,Anton Hüttisch,Edvard Grieg,1103
24,Mars der Medici,Marsch,Johan Wichers,,1103
27,Mir sein die Kaiserjager,Marsch,Karl Mühlberger,Hans-Rainer Schmidt,1103
28,Gendarmerie-Marsch,Marsch,Rudolf Kummerer,,1104
29,Schönfeld-Marsch,Marsch,Carl Michael Zieher,Elton John,1107
30,Ehre und Pflicht,Marsch,Hans Schadenbauer,,1107
31,Schloss Leuchtenburg,Marsch,Sepp Thaler,,1122
32,O du mein Österreich,Marsch,Franz von Suppé,G. Piefke,1103
33,Dem Land Tirol die Treue MB,Marsch,Florian Pedarnig,Johann N. Kral,1113
34,Auf der Vogelwiese,Polka,Josef Poncar,Fr. Chopin,1204
35,Polka Nr. 37,Polka,Metodej Prajka,Harald Cosmar,1201
36,Jehlicka Polka,Polka,Antonin Zvacek,Harald Cosmar,1201
37,Fuchsgraben-Polka,Polka,Karel Vacek,Carl Teike,1201
38,Borsická-Polka,Polka,Josef Repa,Candy de Rouge / Gunter Mende,1201
39,The Wanderer,Rock-Pop,Ernest Maresca,Anton Hofmann,2001
40,Hawaii Five-O,Rock-Pop,Morton Stevens,Heeribert Raich,2005
41,Unter dem Doppeladler,Marsch,J. F. Wagner,Emmerich Kalmann,1107
42,Tiroler Adler,Marsch,Rudolf Achleitner,Edvard Grieg,1107
43,Wien bleibt Wien,Marsch,Johann Schrammel,Edvard Grieg,1108
44,"Dir zum Gruß, Land Vorarlberg",Marsch,Ludwig Bertel,,1113
